"year","id","hrs1","marital","childs","income","happy","ballot"
2000,89,"40","Never married","0","$25000 or more","Pretty happy","Ballot a"
2000,90,"Not applicable","Widowed","2","$20000 - 24999","Pretty happy","Ballot a"
2000,91,"Not applicable","Widowed","1","$15000 - 19999","Not too happy","Ballot c"
2000,92,"70","Married","1","$25000 or more","Very happy","Ballot b"
2000,93,"43","Divorced","1","$25000 or more","Pretty happy","Ballot b"
2000,94,"45","Never married","0","$25000 or more","Pretty happy","Ballot b"
2000,95,"70","Never married","0","$25000 or more","Pretty happy","Ballot c"
2000,96,"50","Never married","0","$25000 or more","Very happy","Ballot b"
2000,97,"40","Married","0","Refused","Very happy","Ballot a"
2000,98,"10","Married","3","$25000 or more","Very happy","Ballot c"
2000,99,"Not applicable","Widowed","3","$25000 or more","Very happy","Ballot c"
2000,100,"55","Divorced","0","Refused","Pretty happy","Ballot a"
2000,101,"40","Married","2","Refused","Very happy","Ballot b"
2000,102,"45","Married","0","$25000 or more","Pretty happy","Ballot c"
2000,103,"Not applicable","Married","2","$25000 or more","Pretty happy","Ballot a"
2000,104,"40","Married","1","$25000 or more","Very happy","Ballot c"
2000,105,"Not applicable","Widowed","2","$25000 or more","Pretty happy","Ballot c"
2000,106,"Not applicable","Married","2","Don't know","Not too happy","Ballot a"
2000,107,"40","Divorced","2","Refused","Pretty happy","Ballot b"
2000,108,"50","Divorced","0","$25000 or more","Very happy","Ballot b"
2000,109,"Not applicable","Married","3","$25000 or more","Pretty happy","Ballot a"
2000,110,"40","Never married","0","Refused","Pretty happy","Ballot a"
2000,111,"30","Married","0","$25000 or more","Very happy","Ballot c"
2000,112,"40","Married","4","Refused","Pretty happy","Ballot a"
2000,113,"45","Separated","2","$25000 or more","Pretty happy","Ballot a"
2000,114,"45","Married","2","$25000 or more","Pretty happy","Ballot b"
2000,115,"40","Never married","2","$25000 or more","Pretty happy","Ballot b"
2000,116,"40","Divorced","0","$25000 or more","Pretty happy","Ballot c"
2000,117,"49","Divorced","2","$25000 or more","Pretty happy","Ballot b"
2000,118,"Not applicable","Separated","3","$20000 - 24999","Pretty happy","Ballot b"
2000,119,"Not applicable","Married","6","Don't know","Very happy","Ballot a"
2000,120,"Not applicable","Widowed","3","$10000 - 14999","Not too happy","Ballot c"
2000,121,"Not applicable","Separated","3","Lt $1000","Not too happy","Ballot b"
